tpep_pickup_datetime,tpep_dropoff_datetime,DOLocationID,PULocationID,pickup_date,pickup_time
2015-07-01 13:12:25,2015-07-01 13:29:05,68,79,2015-07-01,13:12:25
2015-07-01 14:48:35,2015-07-01 14:56:49,158,50,2015-07-01,14:48:35
2015-07-01 20:22:58,2015-07-01 20:31:28,262,162,2015-07-01,20:22:58
2015-07-01 18:15:37,2015-07-01 18:24:37,237,50,2015-07-01,18:15:37
2015-07-01 21:20:42,2015-07-01 21:57:47,223,249,2015-07-01,21:20:42
2015-07-01 13:05:05,2015-07-01 13:21:31,161,162,2015-07-01,13:05:05
2015-07-01 00:01:26,2015-07-01 00:09:01,48,162,2015-07-01,00:01:26
2015-07-01 09:32:20,2015-07-01 09:51:26,162,164,2015-07-01,09:32:20
2015-07-01 18:39:10,2015-07-01 19:20:15,141,132,2015-07-01,18:39:10
2015-07-01 00:33:43,2015-07-01 00:46:59,113,142,2015-07-01,00:33:43
2015-07-01 07:44:30,2015-07-01 07:51:04,231,249,2015-07-01,07:44:30
2015-07-01 22:24:19,2015-07-01 22:32:31,230,163,2015-07-01,22:24:19
2015-07-01 19:02:07,2015-07-01 19:09:49,237,50,2015-07-01,19:02:07
2015-07-01 18:41:58,2015-07-01 18:52:30,142,229,2015-07-01,18:41:58
2015-07-01 21:39:02,2015-07-01 21:47:24,186,114,2015-07-01,21:39:02
2015-07-01 18:02:43,2015-07-01 18:17:10,161,164,2015-07-01,18:02:43
2015-07-01 05:43:02,2015-07-01 05:51:29,237,151,2015-07-01,05:43:02
2015-07-01 07:10:07,2015-07-01 07:18:16,137,229,2015-07-01,07:10:07
2015-07-01 23:02:37,2015-07-01 23:11:03,170,79,2015-07-01,23:02:37
2015-07-01 10:17:44,2015-07-01 10:33:58,107,209,2015-07-01,10:17:44
2015-07-01 09:47:30,2015-07-01 09:57:35,161,163,2015-07-01,09:47:30
2015-07-01 19:33:48,2015-07-01 19:48:26,140,161,2015-07-01,19:33:48
2015-07-01 11:45:02,2015-07-01 12:05:08,151,262,2015-07-01,11:45:02
2015-07-01 11:53:23,2015-07-01 12:07:31,229,75,2015-07-01,11:53:23
2015-07-01 06:00:03,2015-07-02 00:00:00,50,263,2015-07-01,06:00:03
2015-07-01 08:15:34,2015-07-01 08:26:36,230,90,2015-07-01,08:15:34
2015-07-01 02:21:14,2015-07-01 02:22:14,7,7,2015-07-01,02:21:14
2015-07-01 10:13:40,2015-07-01 10:25:36,100,137,2015-07-01,10:13:40
2015-07-01 14:22:35,2015-07-01 14:39:31,48,161,2015-07-01,14:22:35
2015-07-01 23:41:04,2015-07-01 23:48:15,68,48,2015-07-01,23:41:04
2015-07-01 14:36:48,2015-07-01 15:06:15,13,161,2015-07-01,14:36:48
2015-07-01 14:51:32,2015-07-01 14:59:22,236,163,2015-07-01,14:51:32
2015-07-01 10:30:39,2015-07-01 10:49:48,246,237,2015-07-01,10:30:39
2015-07-01 23:09:44,2015-07-01 23:29:54,133,97,2015-07-01,23:09:44
2015-07-01 23:10:52,2015-07-01 23:24:37,4,224,2015-07-01,23:10:52
2015-07-01 20:55:23,2015-07-01 21:07:24,90,161,2015-07-01,20:55:23
2015-07-01 13:48:49,2015-07-01 14:23:26,26,107,2015-07-01,13:48:49
2015-07-01 20:22:09,2015-07-01 20:40:00,65,148,2015-07-01,20:22:09
2015-07-01 18:30:24,2015-07-01 18:49:02,246,87,2015-07-01,18:30:24
2015-07-01 23:27:11,2015-07-01 23:37:43,48,229,2015-07-01,23:27:11
2015-07-01 23:16:14,2015-07-01 23:50:43,48,138,2015-07-01,23:16:14
2015-07-01 12:59:03,2015-07-01 13:13:52,164,43,2015-07-01,12:59:03
2015-07-01 10:57:01,2015-07-01 11:10:13,100,246,2015-07-01,10:57:01
2015-07-01 11:53:34,2015-07-01 11:59:38,162,100,2015-07-01,11:53:34
2015-07-01 12:25:30,2015-07-01 12:40:37,68,170,2015-07-01,12:25:30
2015-07-01 19:06:38,2015-07-01 19:27:30,161,125,2015-07-01,19:06:38
2015-07-01 06:32:55,2015-07-01 06:44:56,229,87,2015-07-01,06:32:55
2015-07-01 21:39:39,2015-07-01 22:02:08,246,79,2015-07-01,21:39:39
2015-07-01 21:03:24,2015-07-01 21:11:29,237,238,2015-07-01,21:03:24
2015-07-01 08:59:46,2015-07-01 09:20:07,231,161,2015-07-01,08:59:46
2015-07-01 14:55:25,2015-07-01 15:18:44,114,114,2015-07-01,14:55:25
2015-07-01 19:36:36,2015-07-01 19:44:01,79,107,2015-07-01,19:36:36
2015-07-01 16:51:26,2015-07-01 17:07:44,151,50,2015-07-01,16:51:26
2015-07-01 01:04:59,2015-07-01 01:16:36,107,230,2015-07-01,01:04:59
2015-07-01 22:09:28,2015-07-01 22:11:14,141,141,2015-07-01,22:09:28
2015-07-01 17:45:10,2015-07-01 17:51:06,143,151,2015-07-01,17:45:10
2015-07-01 09:02:51,2015-07-01 09:05:25,68,90,2015-07-01,09:02:51
2015-07-01 13:05:11,2015-07-01 13:23:28,142,164,2015-07-01,13:05:11
2015-07-01 07:58:25,2015-07-01 08:11:08,166,143,2015-07-01,07:58:25
2015-07-01 20:57:28,2015-07-01 21:34:48,230,138,2015-07-01,20:57:28
