total_seconds,num_of_relocated_drivers
0,0
0,0
60,0
120,0
180,0
240,0
300,0
360,0
420,0
480,0
540,0
600,0
660,0
720,0
780,0
840,0
900,0
960,0
1020,0
1080,0
1140,0
1200,0
1260,0
1320,0
1380,0
1440,0
1500,0
1560,0
1620,0
1680,0
1740,0
1800,1
1860,0
1920,0
1980,0
2040,0
2100,1
2160,0
2220,0
2280,0
2340,0
2400,1
2460,1
2520,0
2580,0
2640,0
2700,2
2760,0
2820,0
2880,0
2940,0
3000,7
3060,0
3120,0
3180,0
3240,0
3300,7
3360,0
3420,0
3480,0
3540,0
3600,8
3660,2
3720,0
3780,0
3840,0
3900,10
3960,0
4020,0
4080,0
4140,0
4200,14
4260,0
4320,0
4380,0
4440,0
4500,21
4560,4
4620,0
4680,0
4740,0
4800,23
4860,1
4920,0
4980,0
5040,0
5100,24
5160,3
5220,0
5280,0
5340,0
5400,30
5460,3
5520,0
5580,0
5640,0
5700,35
5760,8
5820,0
5880,0
5940,0
6000,34
6060,4
6120,0
6180,0
6240,0
6300,35
6360,5
6420,0
6480,0
6540,0
6600,35
6660,5
6720,0
6780,0
6840,0
6900,39
6960,5
7020,0
7080,0
7140,0
7200,43
7260,7
7320,0
7380,0
7440,0
7500,43
7560,3
7620,0
7680,0
7740,0
7800,45
7860,8
7920,0
7980,0
8040,0
8100,45
8160,6
8220,0
8280,0
8340,0
8400,45
8460,9
8520,0
8580,0
8640,0
8700,50
8760,5
8820,0
8880,0
8940,0
9000,53
9060,6
9120,0
9180,0
9240,0
9300,51
9360,6
9420,0
9480,0
9540,0
9600,60
9660,8
9720,0
9780,0
9840,0
9900,60
9960,8
10020,0
10080,0
10140,0
10200,59
10260,12
10320,0
10380,0
10440,0
10500,65
10560,13
10620,0
10680,0
10740,0
10800,66
10860,7
10920,0
10980,0
11040,0
11100,65
11160,9
11220,0
11280,0
11340,0
11400,64
11460,9
11520,0
11580,0
11640,0
11700,68
11760,5
11820,0
11880,0
11940,0
12000,70
12060,14
12120,0
12180,0
12240,0
12300,73
12360,16
12420,0
12480,0
12540,0
12600,75
12660,13
12720,0
12780,0
12840,0
12900,74
12960,10
13020,0
13080,0
13140,0
13200,72
13260,13
13320,0
13380,0
13440,0
13500,74
13560,15
13620,0
13680,0
13740,0
13800,78
13860,9
13920,0
13980,0
14040,0
14100,76
14160,9
14220,0
14280,0
14340,0
14400,77
14460,10
14520,0
14580,0
14640,0
14700,77
14760,9
14820,0
14880,0
14940,0
15000,78
15060,10
15120,0
15180,0
15240,0
15300,77
15360,11
15420,0
15480,0
15540,0
15600,78
15660,12
15720,0
15780,0
15840,0
15900,79
15960,13
16020,0
16080,0
16140,0
