total_seconds,quota_of_saved_time_for_all_served_orders
0,-0.6904077410968652
82800,-0.6531538705271063
82860,1.127619625271939
82920,-0.5872685132846336
82980,0.06390153661824864
83040,-0.8247320769037602
83100,-0.6953271761090988
83160,-0.9650301235281503
83220,-0.7825967469331323
83280,0
83340,-0.7639282499042528
83400,0
83460,-0.6890849583763351
83520,-0.9732773758228046
83580,-0.7165051654790698
83640,0
83700,0.10360324389665569
83760,0
83820,0
83880,0
83940,0
84000,0
84060,-0.535382921936075
84120,0
84180,-0.8021451367503075
84240,0
84300,-0.9996302441785276
84360,-0.9918442675252575
84420,-0.36436052349521414
84480,-0.593599663776224
84540,-0.5222389738107297
84600,-0.9137989332503288
84660,-0.6589967219413456
84720,0
84780,0.18440146944376717
84840,0
84900,-0.718531175765859
84960,-0.4391160355446426
85020,-0.6965911217373916
85080,0
85140,0
85200,-0.6201280741240244
85260,0
85320,-0.7763818296297468
85380,-0.5160245398879985
85440,-0.6665707882990712
85500,-0.9398069216573048
85560,-0.547686120316752
85620,-0.8102743828928034
85680,-0.33474270558324043
85740,0
85800,-0.6516087327702726
85860,-0.6120014043713597
85920,0
85980,-0.755567934185356
86040,-0.3615345758192657
86100,-0.7936792305255472
86160,-0.5183338120499722
86220,-0.5167789991885402
86280,0
