total_seconds,num_of_occupied_driver
46860,0
46860,2
46920,4
46980,4
47040,4
47100,4
47160,5
47220,5
47280,4
47340,4
47400,4
47460,3
47520,3
47580,3
47640,4
47700,4
47760,5
47820,5
47880,5
47940,3
48000,5
48060,6
48120,6
48180,6
48240,6
48300,6
48360,6
48420,6
48480,6
48540,4
48600,4
48660,3
48720,5
48780,4
48840,5
48900,5
48960,6
49020,6
49080,6
49140,6
49200,6
49260,7
49320,7
49380,6
49440,6
49500,6
49560,6
49620,5
49680,5
49740,5
49800,5
49860,5
49920,5
49980,4
50040,5
50100,4
50160,5
50220,6
50280,5
50340,7
