georeference,ada_notes,ada,south_direction_label,north_direction_label,gtfs_longitude,gtfs_latitude,structure,daytime_routes,borough,stop_name,line,division,gtfs_stop_id,complex_id,station_id
POINT (-73.989938 40.723402),,0,Downtown & Brooklyn,Uptown & Queens,-73.989938,40.723402,Subway,F,M,2 Av,6th Av - Culver,IND,F14,232,232
POINT (-73.95326 40.759145),,1,Manhattan,Queens,-73.95326,40.759145,Subway,F,M,Roosevelt Island,63rd St,IND,B06,222,222
POINT (-73.968379 40.799446),,0,Downtown,Uptown & The Bronx,-73.968379,40.799446,Subway,1,M,103 St,Broadway - 7Av,IRT,119,309,309
POINT (-73.986229 40.755983),,1,Grand Central,,-73.986229,40.755983,Subway,S,M,Times Sq-42 St,Lexington - Shuttle,IRT,902,611,468
POINT (-74.000201 40.737826),,0,Downtown & Brooklyn,Uptown & The Bronx,-74.000201,40.737826,Subway,1 2 3,M,14 St,Broadway - 7Av,IRT,132,601,322
POINT (-73.987823 40.749719),,1,Downtown & Brooklyn,Uptown & The Bronx - Queens,-73.987823,40.749719,Subway,B D F M,M,34 St-Herald Sq,6th Av - Culver,IND,D17,607,227
POINT (-73.981637 40.762862),,0,Downtown & Brooklyn,Uptown & The Bronx - Queens,-73.981637,40.762862,Subway,B D E,M,7 Av,Queens Blvd,IND,D14,277,277
POINT (-73.993391 40.752287),,1,Downtown & Brooklyn,Uptown - Queens,-73.993391,40.752287,Subway,A C E,M,34 St-Penn Station,8th Av - Fulton St,IND,A28,164,164
POINT (-73.992629 40.730328),,0,Downtown & Brooklyn,Uptown & Queens,-73.992629,40.730328,Subway,R W,M,8 St-NYU,Broadway - Brighton,BMT,R21,16,16
POINT (-74.006571 40.709416),,1,Downtown & Brooklyn,Uptown & The Bronx,-74.006571,40.709416,Subway,2 3,M,Fulton St,Clark St,IRT,229,628,332
POINT (-73.947478 40.7906),,0,Downtown,Uptown & The Bronx,-73.947478,40.7906,Subway,6,M,103 St,Lexington Av,IRT,624,395,395
POINT (-73.967967 40.762526),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.967967,40.762526,Subway,4 5 6,M,59 St,Lexington Av,IRT,629,613,400
POINT (-73.958424 40.768799),,1,Downtown & Brooklyn,Uptown,-73.958424,40.768799,Subway,Q,M,72 St,Second Av,IND,Q03,477,477
POINT (-73.936245 40.820421),,0,Downtown & Brooklyn,148 St,-73.936245,40.820421,Subway,3,M,145 St,Lenox - White Plains Rd,IRT,302,437,437
POINT (-74.006886 40.719318),,0,Downtown,Uptown & The Bronx,-74.006886,40.719318,Subway,1,M,Franklin St,Broadway - 7Av,IRT,136,326,326
POINT (-73.953676 40.822008),,0,Downtown,Uptown & The Bronx,-73.953676,40.822008,Subway,1,M,137 St-City College,Broadway - 7Av,IRT,115,305,305
POINT (-74.006978 40.713282),,0,Downtown & Brooklyn,Uptown & Queens,-74.006978,40.713282,Subway,R W,M,City Hall,Broadway,BMT,R24,20,20
POINT (-73.986599 40.739864),,1,Downtown,Uptown & The Bronx,-73.986599,40.739864,Subway,6,M,23 St,Lexington Av,IRT,634,405,405
POINT (-73.939561 40.840719),,1,Downtown & Brooklyn,207 St,-73.939561,40.840719,Subway,A C,M,168 St,8th Av - Fulton St,IND,A09,605,148
POINT (-74.003739 40.726227),,0,Downtown & Brooklyn,Uptown - Queens,-74.003739,40.726227,Subway,C E,M,Spring St,8th Av - Fulton St,IND,A33,168,168
POINT (-74.000193 40.718803),,1,Downtown,Uptown & The Bronx,-74.000193,40.718803,Subway,6,M,Canal St,Lexington Av,IRT,639,623,410
POINT (-73.981929 40.768247),,1,Downtown,Uptown & The Bronx,-73.981929,40.768247,Subway,1,M,59 St-Columbus Circle,Broadway - 7Av,IRT,125,614,315
POINT (-73.929412 40.855225),,0,Downtown,Uptown & The Bronx,-73.929412,40.855225,Subway,1,M,191 St,Broadway - 7Av,IRT,110,300,300
POINT (-73.947649 40.817894),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.947649,40.817894,Subway,B C,M,135 St,8th Av - Fulton St,IND,A14,152,152
POINT (-73.980658 40.764664),,1,Downtown & Brooklyn,Uptown & Queens,-73.980658,40.764664,Subway,N Q R W,M,57 St-7 Av,Broadway - Brighton,BMT,R14,9,9
POINT (-74.009781 40.712582),,1,,Uptown - Queens,-74.009781,40.712582,Subway,E,M,World Trade Center,8th Av - Fulton St,IND,E01,624,171
POINT (-73.97192 40.757107),,1,Downtown,Uptown & The Bronx,-73.97192,40.757107,Subway,6,M,51 St,Lexington Av,IRT,630,612,401
POINT (-74.002578 40.739777),,1,Brooklyn,,-74.002578,40.739777,Subway,L,M,8 Av,Canarsie,BMT,L01,618,115
POINT (-73.972143 40.781433),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.972143,40.781433,Subway,B C,M,81 St-Museum of Natural History,8th Av - Fulton St,IND,A21,159,159
POINT (-73.95036 40.826551),,0,Downtown,Uptown & The Bronx,-73.95036,40.826551,Subway,1,M,145 St,Broadway - 7Av,IRT,114,304,304
POINT (-73.993365 40.747215),,0,Downtown,Uptown & The Bronx,-73.993365,40.747215,Subway,1,M,28 St,Broadway - 7Av,IRT,129,319,319
POINT (-74.003401 40.713243),,1,Broad St,Brooklyn,-74.003401,40.713243,Subway,J Z,M,Chambers St,Jamaica,BMT,M21,622,105
POINT (-73.993753 40.718267),,1,Brooklyn,Uptown & The Bronx,-73.993753,40.718267,Subway,B D,M,Grand St,6th Av - Culver,IND,D22,231,231
POINT (-73.93418 40.859022),,0,Downtown & Brooklyn,207 St,-73.93418,40.859022,Subway,A,M,190 St,8th Av - Fulton St,IND,A05,145,145
POINT (-73.982209 40.77344),,1,Downtown,Uptown & The Bronx,-73.982209,40.77344,Subway,1,M,66 St-Lincoln Center,Broadway - 7Av,IRT,124,314,314
POINT (-73.98795 40.749567),,1,Downtown & Brooklyn,Uptown & Queens,-73.98795,40.749567,Subway,N Q R W,M,34 St-Herald Sq,Broadway - Brighton,BMT,R17,607,12
POINT (-73.958161 40.800603),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.958161,40.800603,Subway,B C,M,Cathedral Pkwy (110 St),8th Av - Fulton St,IND,A17,155,155
POINT (-73.979189 40.752769),,1,,Times Sq,-73.979189,40.752769,Subway,S,M,Grand Central-42 St,Lexington - Shuttle,IRT,901,610,469
POINT (-73.997702 40.724329),,0,Downtown & Brooklyn,Uptown & Queens,-73.997702,40.724329,Subway,R W,M,Prince St,Broadway - Brighton,BMT,R22,17,17
POINT (-73.951822 40.799075),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.951822,40.799075,Subway,2 3,M,Central Park North (110 St),Lenox - White Plains Rd,IRT,227,441,441
POINT (-74.008811 40.713051),,0,Downtown & Brooklyn,Uptown & The Bronx,-74.008811,40.713051,Subway,2 3,M,Park Place,Clark St,IRT,228,624,331
POINT (-73.972323 40.793919),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.972323,40.793919,Subway,1 2 3,M,96 St,Broadway - 7Av,IRT,120,310,310
POINT (-73.997141 40.722301),,0,Downtown,Uptown & The Bronx,-73.997141,40.722301,Subway,6,M,Spring St,Lexington Av,IRT,638,409,409
POINT (-74.009266 40.715478),,1,Downtown & Brooklyn,Uptown & The Bronx,-74.009266,40.715478,Subway,1 2 3,M,Chambers St,Broadway - 7Av,IRT,137,327,327
POINT (-74.014065 40.704817),,1,Brooklyn,Uptown & The Bronx,-74.014065,40.704817,Subway,4 5,M,Bowling Green,Lexington Av,IRT,420,414,414
POINT (-73.944216 40.824783),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.944216,40.824783,Subway,B D,M,145 St,Concourse,IND,D13,151,151
POINT (-74.00046 40.718383),,0,Downtown & Brooklyn,Uptown & Queens,-74.00046,40.718383,Subway,N Q,M,Canal St,Manhattan Bridge,BMT,Q01,623,19
POINT (-73.939704 40.847391),,1,Downtown & Brooklyn,207 St,-73.939704,40.847391,Subway,A,M,175 St,8th Av - Fulton St,IND,A07,147,147
POINT (-73.989735 40.757308),,1,Downtown & Brooklyn,Uptown - Queens,-73.989735,40.757308,Subway,A C E,M,42 St-Port Authority Bus Terminal,8th Av - Fulton St,IND,A27,611,163
POINT (-73.951787 40.777891),,1,Downtown & Brooklyn,Uptown,-73.951787,40.777891,Subway,Q,M,86 St,Second Av,IND,Q04,476,476
