georeference,ada_notes,ada,south_direction_label,north_direction_label,gtfs_longitude,gtfs_latitude,structure,daytime_routes,borough,stop_name,line,division,gtfs_stop_id,complex_id,station_id
POINT (-73.957757 40.708359),,1,Manhattan,Jamaica - Middle Village,-73.957757,40.708359,Elevated,J M Z,Bk,Marcy Av,Jamaica,BMT,M16,101,101
POINT (-73.989938 40.723402),,0,Downtown & Brooklyn,Uptown & Queens,-73.989938,40.723402,Subway,F,M,2 Av,6th Av - Culver,IND,F14,232,232
POINT (-73.847036 40.836488),,0,Manhattan,Pelham Bay Park,-73.847036,40.836488,Elevated,6,Bx,Zerega Av,Pelham,IRT,606,364,364
POINT (-73.891394 40.746848),,1,Manhattan,Flushing,-73.891394,40.746848,Elevated,7,Q,74 St-Broadway,Flushing,IRT,710,616,454
POINT (-73.95326 40.759145),,1,Manhattan,Queens,-73.95326,40.759145,Subway,F,M,Roosevelt Island,63rd St,IND,B06,222,222
POINT (-74.200064 40.525507),,0,Tottenville,St George,-74.200064,40.525507,Open Cut,SIR,SI,Prince's Bay,Staten Island,SIR,S15,517,517
POINT (-73.905227 40.85041),,0,Manhattan,Bedford Pk Blvd & 205 St,-73.905227,40.85041,Subway,B D,Bx,Tremont Av,Concourse,IND,D07,215,215
POINT (-73.968379 40.799446),,0,Downtown,Uptown & The Bronx,-73.968379,40.799446,Subway,1,M,103 St,Broadway - 7Av,IRT,119,309,309
POINT (-73.86001 40.692435),,0,Manhattan,Jamaica,-73.86001,40.692435,Elevated,J,Q,85 St-Forest Pkwy,Jamaica,BMT,J16,84,84
POINT (-73.95085 40.662742),,0,Flatbush,Manhattan,-73.95085,40.662742,Subway,2 5,Bk,Sterling St,Nostrand,IRT,242,354,354
POINT (-73.986229 40.755983),,1,Grand Central,,-73.986229,40.755983,Subway,S,M,Times Sq-42 St,Lexington - Shuttle,IRT,902,611,468
POINT (-73.94067 40.711926),,1,Canarsie - Rockaway Parkway,Manhattan,-73.94067,40.711926,Subway,L,Bk,Grand St,Canarsie,BMT,L12,123,123
POINT (-73.980492 40.688246),,0,Flatbush - Utica - New Lots,Manhattan,-73.980492,40.688246,Subway,2 3 4 5,Bk,Nevins St,Eastern Pky,IRT,234,337,337
POINT (-74.136907 40.5564),,0,Tottenville,St George,-74.136907,40.5564,Embankment,SIR,SI,Bay Terrace,Staten Island,SIR,S20,512,512
POINT (-74.000201 40.737826),,0,Downtown & Brooklyn,Uptown & The Bronx,-74.000201,40.737826,Subway,1 2 3,M,14 St,Broadway - 7Av,IRT,132,601,322
POINT (-73.987823 40.749719),,1,Downtown & Brooklyn,Uptown & The Bronx - Queens,-73.987823,40.749719,Subway,B D F M,M,34 St-Herald Sq,6th Av - Culver,IND,D17,607,227
POINT (-73.783817 40.712646),,1,Manhattan,,-73.783817,40.712646,Subway,F,Q,Jamaica-179 St,Queens Blvd,IND,F01,254,254
POINT (-73.912385 40.69943),,1,Metropolitan Av,Manhattan,-73.912385,40.69943,Elevated,M,Bk,Myrtle-Wyckoff Avs,Myrtle Av,BMT,M08,630,112
POINT (-73.898654 40.676992),,0,Manhattan,Jamaica,-73.898654,40.676992,Elevated,J,Bk,Alabama Av,Jamaica,BMT,J24,91,91
POINT (-73.879159 40.828584),,0,Manhattan,Pelham Bay Park,-73.879159,40.828584,Elevated,6,Bx,Elder Av,Pelham,IRT,611,369,369
POINT (-73.830834 40.8883),,0,Manhattan,,-73.830834,40.8883,At Grade,5,Bx,Eastchester-Dyre Av,Dyre Av,IRT,501,442,442
POINT (-73.981637 40.762862),,0,Downtown & Brooklyn,Uptown & The Bronx - Queens,-73.981637,40.762862,Subway,B D E,M,7 Av,Queens Blvd,IND,D14,277,277
POINT (-73.956848 40.68138),,1,Euclid Av,Manhattan,-73.956848,40.68138,Subway,C,Bk,Franklin Av,8th Av - Fulton St,IND,A45,627,178
POINT (-73.996895 40.626472),,1,Coney Island,Manhattan,-73.996895,40.626472,Elevated,D,Bk,62 St,West End,BMT,B16,615,63
POINT (-73.986829 40.597704),,0,Coney Island,Manhattan,-73.986829,40.597704,Elevated,D,Bk,25 Av,West End,BMT,B22,69,69
