ID,X,Y
0,6311,6311
1,2201,2201
2,926,3867
3,3898,7585
4,3867,5923
5,4185,6176
6,9401,5385
7,5305,1095
8,3714,7801
9,7585,8289
10,9361,2386
11,7411,1430
12,7775,7344
13,4243,4186
14,1750,8314
15,3423,3923
16,5923,8009
17,8552,4460
18,2969,9668
19,708,2135
20,2477,5041
21,2702,2912
22,2299,9370
23,4749,2494
24,6272,9627
25,6176,6698
26,3321,492
27,7862,5362
28,1850,7091
29,8980,9464
30,8832,3740
31,201,8668
32,1268,313
33,9344,5121
34,8666,9962
35,8989,6160
36,5385,7777
37,9957,9644
38,6899,2239
39,3438,113
40,7513,233
41,6242,4427
42,1824,3226
43,631,4749
44,6693,6047
45,4454,9138
46,1251,9353
47,5764,1036
48,8981,9078
49,1095,824
50,8151,202
51,3989,29
52,4396,9570
53,3539,1928
54,2252,8061
55,1480,860
56,9171,1633
57,697,3043
58,9515,5241
59,3673,9274
60,5043,4018
61,8101,4738
62,9425,7267
63,7293,7092
64,7801,1291
65,6795,3184
66,1160,811
67,1225,8472
68,7640,3882
69,611,3162
70,1940,4126
71,5304,8760
72,1203,1854
73,4584,4825
74,8442,873
75,7386,6478
76,6071,4680
77,4140,4731
78,3074,3987
79,2381,9202
80,4448,3432
81,8289,8839
82,2371,7943
83,8129,9031
84,4646,9542
85,3270,8179
86,508,2795
87,2391,2662
88,6512,2125
89,1328,8373
90,3336,7198
91,1368,1582
92,6898,5453
93,8099,9693
94,8958,2565
95,8713,3348
96,6071,1953
97,3187,1794
98,5839,6155
99,6618,563
